ComplaintType;Complaint;Date;Decision;Report_name
Harassment of Newsmen;Complaint of Shri Dinesh Singh Bhadoriya, Shri Yogendra Singh Bhadoriya and Sumer Singh Narwariya, Journalists, Madhya Pradesh against Shri Mahavir Bhagel, Jail Suprinendent, Sub Jail Mehgaon Central Jail, Gwalior, Madhya Pradesh. ;15.11.2022;Upheld;AnnualReport2023
Harassment of Newsmen;Complaint of Shri Yogendra Kashinath Dorkar, Editor of Dainik Nandurbar Dinank Uttar Maharashtra against Dr. Rajendra Bharud, Collector, District Nandurbar, Maharashtra. ;15.11.2022;Disposed of (Complainant Censured);AnnualReport2023
Harassment of Newsmen;Complaint of Shri Jagpal Singh, Correspondent, Dainik Aaj, District General Secretary, UP Journalists Association (UPJA), Gonda, U.P. against Shri Praveen Kumar, Commander, Railway Protection Force, Eastern Railway Station, Gonda, U.P. ;28.02.2023;Disposed of (with liberty to the Complainant to approach court);AnnualReport2023
Harassment of Newsmen;Complaint of Shri Anam Ibrahim, Journalist, Shahjanabad, Bhopal, Madhya Pradesh against Director General of Police, Bhopal, Madhya Pradesh. ;28.02.2023;Disposed of for being sub- judice;AnnualReport2023
Facilities to the Press;Complaint of Mr. Naveen Das, Editor, Satya Ra Swara Nirbhay, Bhubaneshwar against Information and Public Relations Director, Government of Odisha, Bhubaneshwar. ;15.11.2022;Disposed of being Withdrawn;AnnualReport2023
Suo-Motu Cognizance;Suo-motu cognizance w.r.t Police action on Journalist in Chandigarh. ;22.09.2022;Disposed of with observa­ tion & Com­ pensation;AnnualReport2023
Suo-Motu Cognizance;Suo-motu cognizance with regard to attack on Shri Anil Sinha, Photo-Journalist, Rashtriya Sahara and Shri Sanjeev Verma, Photo-Journalist, Hindustan Times by Delhi Police. ;22.09.2022;Disposed of;AnnualReport2023
Suo-Motu Cognizance;Suo-Motu cognizance w.r.t Rajasthan Chief Minister’s open threat to media and its right to freedom of expression. ;15.11.2022;Upheld;AnnualReport2023
Suo-Motu Cognizance;Suo-Motu cognizance with regard to alleged attack and killing of Shri Sayed Adil Wahab, Reporter in Bhopal, M.P.;15.11.2022;Disposed of;AnnualReport2023
Suo-Motu Cognizance;Suo-Motu cognizance with regard to Rajkot Collector allegedly bribing the reporters for positive media coverage of state level Republic Day function. ;15.11.2022;Censured Newspapers and warning issued to Govt. authority;AnnualReport2023
Curtailment of Press Freedom;Complaint of Shri Sanjay Kumar Singh, Bureau Chief, Prathah Kamal, Dist-East Champaran, Motihari, Bihar against Mrs. Suchita Kumari, Lady Supervisor, Bal Vikas Pariyojana Karyalaya, Paharpur, East Champaran, Bihar. ;22.09.2022;Rejected;AnnualReport2023
Harassment of Newsmen;Complaint of Shri Yogesh Porwal, Editor/ Publisher, Dashpur Disha against Shri Pawan Jain, Deputy Commissioner, Revenue & Public Information officer, Ujjain and others. ;;Dropped as remedied;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Avijit Anand, Journalist/ Editor, Pragati Yatra, Lucknow, U.P. against Shri Shubhchandra Jha, Director Personnel Management and Administration, Madhyanchal Vidhyut Vitran Nigam, Lucknow. ;;Dismissed;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Lavlesh Pandey, Editor in Chief, Dainik Charcha Aaj ki, Karvi against Police Authorities. ;;Dismissed;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Manish Kumar Rathor, Editor, Prime Sandesh Magazine, M.P. against Tehsildar, Godhadongri, Baitul, M.P. ;;Closure of Case;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Dinesh Chandra Srivastava against Shri Ratnesh Kumar, Basic Utthan Evam Gramin Seva Sansthan, Barabanki, U.P. ;;Dismissed;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Himanshu Singh, Correspondent, Dainik Janmorcha, Sitapur against Police Authorities. ;;Dropped with directions;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Suresh Chandra, Editor, City Glance, Hindi Weekly, Badaun, U.P. against Health Department. ;;Dismissed;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Sumit Rathi, Journalist, Dainik Jagran, Shamli, U.P against Police. ;;Disposed of being sub judice;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Shaikh Nazar Mohammed, Journalist, Dainik Janbaj Magazine against police authorities and Kirana Vyapar Sangh, Lakheri, Bundi, Rajasthan. ;;Disposed of;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Manoj Tibrewal, Senior Journalist, Delhi against District Magistrate, Maharajganj and others. ;;Dismissed being subjudice;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Sohan Singh, Pioneer, Basti, U.P against Shri Harish Dwivedi, M.P., Basti, U.P. ;;Dismissed;AnnualReport2022
Harassment of Newsmen;Complaint of Shri Kulwant Singh, Managing Editor, Tekri Times Weekly (M.P.) against (i) Smt. Jyoti Shah Narwariya, Food Supply Controller (ii) Shri Lakhvinder Singh Gill, Food Supply Inspector and (iii) Shri Pratap Singh Thakur, Food Supply Inspector, Office of the Collector, Bhopal. ;;Disposed of with directions;AnnualReport2022
Facilities to the Press;Complaint of Shri Jaisingh Rawat, Shramjivi Patrakar, Dehradun against Information & Public Relations Department, Uttarakhand. ;;Disposed of;AnnualReport2022
Facilities to the Press;Complaint of Shri Vatika Ashok Kumar, Vice President, TWJF, Mahabubnagar, Telangana against I & PRD, Telangana. ;;Disposed of with directions;AnnualReport2022
Facilities to the Press;Communication received from Shri Yohannan Mathew from ANB News regarding non-issuance of press passes during curfew. ;;Disposed of being beyond jurisdiction;AnnualReport2022
Facilities to the Press;Communication received from Shri Om Prakash Khemkarni, Member, PCI regarding discriminatory Policy of DAVP. ;;Disposed of with observation;AnnualReport2022
Facilities to the Press;Complaint of Shri Saurabh Gangwar, Chairman and its members, Kumayum Yuva Press Club, Udham Singh Nagar, Uttarakhand against District Information Officer, Udham Singh Nagar, Uttarakhand. ;;Dismissed;AnnualReport2022
Facilities to the Press;Complaint of Shri Akhil Bansal, General Secretary, A. Bha. Jain Patra, Editor against the Ministry of Information and Public Relations Department, Government of Rajasthan, Jaipur. ;;Dismissed;AnnualReport2022
Facilities to the Press;Complaint of Shri Harishankar Upadhyay, Editor, Pillars of Democracy, Maharashtra against RNI. ;;Disposed of with directions;AnnualReport2022
Facilities to the Press;Complaint of Editor of Tumul Tufani, Weekly, Moradabad U.P. against Postal Department. ;;Disposed of with directions;AnnualReport2022
Facilities to the Press;Complaint of Editor of Tumul Tufani, Weekly, Moradabad U.P. against Public Relations Department, Northern Railways, Delhi. ;;Disposed of on assurance given by respondent;AnnualReport2022
Facilities to the Press;Complaint of Shri Kishore Kumar Dagdi, Publisher/ Editor, Karmagya Newspaper, Ujjain, M.P. against DAVP, PIB. ;;Disposed of;AnnualReport2022
Suo-Motu Cognizance;Suo-motu cognizance regarding alleged threat to journalist by BJP MLA. ;;Dropped;AnnualReport2022
Suo-Motu Cognizance;Untimely death of Journalists in Telangana – communications received from Shri K. Amarnath regarding. ;;Disposed of with observation;AnnualReport2022
Suo-Motu Cognizance;Notice for Comments concerning Government of Andhra Pradesh Order G.O. Ms No. 142 GA (I&PR) Department, dated 20.11.2019 and G.O. Ms No. 98 GA (I&PR) Department dated 15.09.2020 amendment order issued on 08.12.2020. ;;Dropped being subjudice;AnnualReport2022
Suo-Motu Cognizance;Suo-motu cognizance taken with regard to alleged targeting of journalist for reporting during COVID- 19 lockdown in Punjab. ;;Disposed of with direction;AnnualReport2022
Suo-Motu Cognizance;Suo-Motu cognizance with regard to arrest of the journalist in Mangalore”. ;;Dropped;AnnualReport2022
Suo-Motu Cognizance;Suo-Motu cognizance on FIR lodged against unknown media institution on publication of news about Govt. Girl Shelter Home, Kanpur, U.P. ;;Dropped;AnnualReport2022
Harassment of Newsmen;Complaint of Shri G.N. Tiwari, Managing Editor, Youth Agenda, Patna against the police authorities and Bihar State Housing Board, Patna, Bihar. ;21-09-2020;Disposed of;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Harishyam Bajpayee, Editor, The Telecast, Hardoi, U.P against Shri Shyam Prakash, MLA and others, Hardoi, U.P. ;21-09-2020;Disposed of being sub-judice;AnnualReport2021
Harassment of Newsmen;Complaint of Shri Ramcharan Mali, Chief Editor, Vanvasi Express, Rajasthan against Information & Public Relations Department, Govt. of Rajasthan, Jaipur, Rajasthan. ;21-09-2020;Disposed of with direction;AnnualReport2021
